AMLD 2019	Applied Machine Learning Days	"EPFL, Lausanne, Switzerland"
OLA 2019	OLA'2019 Int. Workshop on Optimization and Learning	Bangkok Thailand
AECCC--Ei Compendex and Scopus 2019	"2019 African Electronics, Computer and Communication Conference (AECCC 2019)--Ei Compendex and Scopus"	"Rabat, Morocco"
IJSCAI 2018	"International Journal on Soft Computing, Artificial Intelligence and Applications"	Locationunavailable
IJAIA 2018	International Journal of Artificial Intelligence & Applications	Locationunavailable
ICACS--Ei Compendex and Scopus 2019	"2019 3rd International Conference on Algorithms, Computing and Systems (ICACS 2019)--Ei Compendex and Scopus"	"Rabat, Morocco"
SIPO 2019	"3rd International Conference on Signal, Image Processing"	"Chennai, India"
IJDPS 2018	International Journal of Distributed and Parallel systems	Locationunavailable
AIAPP 2019	6th International Conference on Artificial Intelligence and Applications (AIAPP 2019)	"Dubai, UAE"
UVS-Oman 2019	"1st International Conference on Unmanned Vehicle Systems, Oman (IEEE)"	"Muscat, Oman"
CSEIT 2018	"5th International Conference on Computer Science, Engineering and Information Technology"	"Dubai,UAE"
ORAJ 2018	Operations Research and Applications: An International Journal	Locationunavailable
SCAI 2018	"7th International Conference On Soft Computing, Artificial Intelligence And Applications"	"Sydney , Australia"
SOEA 2019	3rd International Conference on Software Engineering and Applications	"Chennai, India"
ACIJ 2018	Advanced Computing: An International Journal	Locationunavailable
SIPRO 2019	5th International Conference on Signal and Image Processing	"Toronto, Canada"
SPM 2018	"5th International Conference on Signal, Image Processing and Multimedia"	"Dubai, UAE"
NECO 2018	7th International Conference of Networks and Communications	"Sydney, Australia"
RAPRAI 2018	Special Issue on â€œRecent Advances in Pattern Recognition and Artificial Intelligenceâ€ù in Neural Computing and Applications	Locationunavailable
DMDB 2019	6th International Conference on Data Mining and Database	"Vancouver, Canada"
2W2T-EI/Scopus/CPCI 2019	2019 International Conference on Advances in Water and Wastewater Treatment Technologies (2W2T 2019)	"Shenzhen, China"
AIFU 2019	5th International Conference on Artificial Intelligence and Applications	"Toronto, Canada"
IJFCST 2018	International Journal on Foundations of Computer Science & Technology	Locationunavailable
AISCA 2019	"3rd International Conference on Artificial Intelligence, Soft Computing And Applications"	"Chennai, India"
IEEE--CRC--Ei Compendex & Scopus 2018	"2018 the 3rd International Conference on Cybernetics, Robotics and Control (CRC 2018)--IEEE, Ei Compendex & Scopus"	"Penang, Malaysia"
"ICCTS--EI, Scopus 2018"	"2018 7th International Conference on Computer Technology and Science (ICCTS 2018)--EI Compendex, Scopus"	"Ho Chi Minh, Vietnam"
ACAI-EI/Scopus 2018	"2018 International Conference on Algorithms, Computing and Artificial Intelligence (ACAI 2018)"	"Sanya, China"
AIAP 2019	6th International Conference on Artificial Intelligence and Applications	"Vancouver, Canada"
"ACM--ICCMS--Ei, Scopus 2019"	"ACM--2019 The 11th International Conference on Computer Modeling and Simulation (ICCMS 2019)--Ei Compendex, Scopus"	"Melbourne, Australia"
MLNLP-EI/Scopus 2018	2018 International Conference on Machine Learning and Natural Language Processing (MLNLP 2018)	"Sanya, China"
FinancialNews&Data-IEEEBigData2018	The 2nd International Workshop on Big Data for Financial News and Data	"Seattle, WA, USA"
PHY 2018	3rd International Conference on Recent advances in Physics	"Dubai, UAE"
